id,timestamp,source,rating,feedback_text
1847,N/A,app_store_review,1,THANK YOU TO THE AGENT PRIYA WHO HANDLED MY COMPLAINT SO WELL - MY GROCERIES ORDER IN PUNE
1695,2024-02-01 18:30:00,app_store_review,,"Five stars, the app is fantastic and reliable (order #409153)"
2771,2024-02-13 18:30:00,app_store_review,1,"Cannot add address, the save button is greyed out"
2770,2024-03-14 18:30:00,survey_comment,3,Works fine for me most of the time
2075,2024-03-31 18:30:00,app_store_review,1,Coupon SAVE50 did not apply at checkout and I paid full price - my sushi order in Bangalore
2529,2024-03-25 11:01:48,app_store_review,5,"Oh great, crashed again right at checkout, just love it"
2584,2024-03-17 18:30:00,support_ticket,2,Login keeps failing and when I finally got in the coupon did not apply either
2114,2024-01-20 18:30:00,survey_comment,2,"My refund still hasn't cooome after 10 days, this is ridiculous (order #190615)"
2716,N/A,app_store_review,5,Why is there a service fee I never agreed to on my bill
2528,2024-03-12 18:30:00,app_store_review,5,"Wonderful, charged me twice, exactly what I wanted today"
2497,2024-01-04 18:30:00,support_ticket,2,Driver could not find my building and just cancelled - my groceries order in Bangalore
2281,2024-02-29 18:30:00,app_store_review,1,Payment failed but money got deducted from my account Agent Priya was handling it.
1591,2024-03-15 18:30:00,survey_comment,3,"Average experience, could be better"
2224,2024-09-30 18:30:00,support_ticket,3,App stuck on loading screen for 5 minutes then closed (order #363537)
1054,2024-01-26 18:30:00,app_store_review,2,The store staff was friendly when I picked up my order (order #132537)
1493,2024-02-08 18:30:00,support_ticket,1,"Items were missing from my delivery, got only half the order (order #133795)"
2001,N/A,survey_comment,,Payment failed but money got deducted from my account (order #536535)
2710,2024-01-17 18:30:00,app_store_review,5,Order marked delivered but nothing arrived at my place
1689,2024-02-23 18:30:00,app_store_review,2,The invoice amount does not match what the app showed me
2655,2024-03-02 18:30:00,survey_comment,,....
1436,2024-02-05 18:30:00,survey_comment,4,"Great experience overall, food always fresh - my thali order in Kolkata"
2234,2024-01-18 22:18:15,survey_comment,1,Nobody from support replied to my three emails
1682,2023-12-31 18:30:00,app_store_review,1,"Items were missing from my delivery, got only half the order (order #908323)"
1508,2024-03-20 18:30:00,app_store_review,3,"PACKAGE WAS LEFT AT THE WRONG DOOR, I NEVER RECEIVED IT AGENT PRIYA WAS HANDLING IT."
2384,2024-03-26 03:42:43,survey_comment,2,The new version drains my battery so fast Agent Meera was handling it.
2039,2024-02-12 18:30:00,app_store_review,2,The new version drains my battery so fast - my groceries order in Pune
1377,2024-03-25 00:00:00,support_ticket,2,"Package was left at the wrong door, I never received it Agent Vikram was handling it."
2530,2024-02-28 00:00:00,app_store_review,4,"BRILLIANT, MY REFUND IS 'ON THE WAY' FOR THE THIRD WEEK NOW, LOVELY"
2069,2024-03-23 00:00:00,app_store_review,4,"Love this app, ordering is so smooth and fast - my milk order in Bangalore"
1544,2024-02-23 18:30:00,support_ticket,2,Delivery person was rude and threw the bag on the floor (order #137042)
2583,2024-02-25 02:22:32,support_ticket,1,Order came late AND I was charged a delivery fee that should have been free
1788,N/A,app_store_review,3,meh
2204,2024-01-09 18:30:00,app_store_review,3,"It is okay, nothing special"
2625,N/A,support_ticket,3,👍
1692,2024-01-05 00:00:00,survey_comment,2,Nobody from support replied to my three emails - my thali order in Kolkata
2610,2024-02-02 18:30:00,app_store_review,,Please add more vegan restaurants to the platform
1350,2024-11-01 18:30:00,app_store_review,5,"Love this app, ordering is so smooth and fast (order #245117)"
1801,2024-01-11 18:30:00,app_store_review,2,Search bar shows no results even for items that exist (order #954678)
1882,2024-01-05 18:33:42,support_ticket,1,Notifications stopped working after the update Agent Meera was handling it.
2713,2024-01-19 00:00:00,app_store_review,5,Coupon SAVE50 did not apply at checkout and I paid full price
2368,2024-02-06 18:30:00,survey_comment,1,Thank you to the agent Priya who handled my complaint so well (order #262315)
2092,2024-01-23 00:00:00,support_ticket,1,"Cannot add address, the save button is greyed out Agent Rahul was handling it."
2437,2024-01-11 18:30:00,app_store_review,2,"Cannot add address, the save button is greyed out Agent Vikram was handling it.!!!!"
2254,2024-02-12 18:30:00,app_store_review,3,"My refund still hasn't come after 10 days, this is ridiculous (order #523158)"
1126,N/A,survey_comment,3,Login button does nothing on the latest update Agent Rahul was handling it.!!!!
1768,2024-03-07 07:14:23,survey_comment,2,WHY IS THERE A SERVICE FEE I NEVER AGREED TO ON MY BILL
1230,2024-03-11 07:21:55,app_store_review,1,Thank you to the agent Priya who handled my complaint so well (order #419457)
2670,N/A,support_ticket,1,Pedido llego tarde y faltaban articulos
1244,2024-02-12 18:30:00,app_store_review,2,Coupon SAVE50 did not apply at checkout and I paid full price (order #491439)
2098,2024-03-11 18:30:00,app_store_review,2,Nobody from support replied to my three emails (order #467476)
1447,2024-02-10 00:00:00,support_ticket,1,Login button does nothing on the latest update (order #660957)
1712,2024-02-20 18:30:00,support_ticket,2,"Package was left at the wrong door, I never received it"
1703,25/03/2024,survey_comment,1,Thank you to the agent Priya who handled my complaint so well (order #456855)
1677,2024-01-05 18:30:00,survey_comment,,"Items were missing frooom my delivery, got only half the order (order #198123)"
1495,2024-01-17 00:00:00,support_ticket,4,"Super easy to use and quick checkout, well done team Agent Neha was handling it."
1623,2024-01-24 18:30:00,app_store_review,2,SEARCH BAR SHOWS NO RESULTS EVEN FOR ITEMS THAT EXIST. THIS IS THE FIRST TIME.
1501,2024-01-27 18:30:00,survey_comment,3,My order arrived almost an hour late and the food was cold Agent Vikram was handling it.
